words,frequency
#Ad,2
Garmi,1
ka,1
Mausam,1
aa,1
gaya,1
"hai,",1
toh,2
matlab,1
naya,1
ice,1
cream,2
flavour,1
try,3
karna,1
chahiye!,1
😍,5
Tried,2
the,71
@kwalitywalls,1
new,2
Hazelnut,1
Chocolate,4
Ice,1
and,53
it,18
has,1
just,4
right,3
amount,2
of,53
sweetness.,1
Go,1
check,3
out!,1
Order,2
yours,1
on,13
Swiggy,1
or,5
get,6
from,14
your,17
nearest,1
Kwality,1
Wall's,1
freezer!,1
#CraftedForIndulgence,1
#IceCream,1
#Hazelnuts,1
#Chocolate,1
#hazelnutchocolate,1
#dilsefoodie,10
24,1
Haree,1
Mirch,1
And,8
15,2
Nimbu,1
Daal,1
Ke,2
Banaye,1
Hai,1
Chacha,1
Bhatija,1
Special,2
Chole,2
Kulche,1
😂😂.,1
Thanks,1
To,6
@agraeaters,1
For,6
Helping,1
Us,2
Exploring,2
Agra,3
Street,3
Food.,1
#food,14
#streetfood,7
#cholekulche,1
On,9
The,17
Occasion,1
Of,12
75th,1
Independence,1
Day,2
@ministryofculturegoi,1
Awarded,1
As,2
One,2
75,1
Cultural,1
Brand,1
Ambassador,1
India,7
At,6
@amritmahotsav.,1
,135
We,7
Can't,1
Express,1
Our,1
Feelings,1
In,12
Words.,1
But,3
Will,6
Promise,1
You,6
Guys,2
Keep,1
Help,1
Local,1
Vendors.,1
Government,1
Is,5
Doing,1
A,9
Campaign,1
#harghartiranga,1
So,4
I,46
Hoist,1
Tiranga,1
My,3
Place,1
Tomorrow,1
Also,2
Participate.,1
#75For75,1
#amritmohatsav,1
#DilSeDesi,1
Reserve,1
Bank,2
Ki,1
Flying,1
Chai,1
Garma,1
Garam,2
Bread,2
Pakode,1
Kachori,1
#hiddengem,1
#breakfast,4
Gurpurab,1
Di,1
Lakh,2
Vadhaiyan,1
🙏🏻,1
#gurunanakdevji,1
#gurpurab2023,1
Best,4
Indian,7
Restaurant,4
Thailand,1
-,74
Tandoori,3
Night,3
@tandoorinightsaonang,1
#aonang,1
#krabi,1
#indianfood,3
#thailand,1
Gurgaon,1
Ka,2
Crorepati,1
MAGGI,1
Wala,1
😀,1
30min,1
Waiting,1
Baad,1
Milegi,1
Apko,1
Maggi,1
#maggi,1
#love,1
Unlimited,2
AMRITSARI,1
Kulcha,1
159,1
Only,2
"Ambarsariya,",1
Tilak,3
Nagar,5
Branches,1
:,3
Rohini,1
Sec,1
3,1
Call,1
8368807813,1
Exact,1
Location,3
#amritsar,1
#kulcha,1
Dive,1
into,3
a,54
world,1
taste,1
at,10
Fat,2
Tiger,2
Fast,2
Food,13
–,1
where,5
every,4
meal,2
is,48
feast.,1
Most,3
well-known,1
for,21
its,2
delicious,1
juicy,1
range,1
momos,2
refreshing,1
varieties,2
Boba,1
beverages.,1
should,5
definitely,1
their,2
lip,1
smacking,1
Gravy,2
"momos,",1
Kurkure,1
&,24
big,1
fat,1
burger!,1
have,12
got,1
45+,1
outlets,1
in,42
"India,",1
them,5
out,5
city,1
more,5
information,1
follow,1
Webiste,1
https://fat-tiger.in/,1
Instagram,1
@fattigerindia,1
Facebook,2
https://www.facebook.com/fattigerindia,1
#fattiger,1
#parineetichopra,1
#burger,1
#chickenwings,1
#bobbatea,1
Fish,1
Chicken,5
Pul,1
"Bangash,",1
#fish,1
#tandoorichicken,1
#tilaknagar,1
1K,1
to,59
1M,1
6.5,1
months!,1
reached,1
our,8
first,4
million,1
pharmers!,1
am,7
intentionally,1
using,1
"million,",1
because,7
we,11
many,5
millions,2
go!,1
family,4
still,2
does,1
not,7
understand,1
what,3
doing.,1
earned,1
single,1
rupee,1
through,2
"this,",1
living,1
off,1
my,15
savings,1
job,1
US.,1
would,2
prefer,1
me,6
going,1
back,2
US,2
do,4
regular,2
job.,1
confident,1
that,8
one,3
"day,",1
will,9
change,4
mind,1
as,12
well!,3
0,1
team,1
(excluding,1
1,4
part-time,1
video,5
editor),1
working,1
all,6
alone,1
with,17
"lawyers,",1
"media,",1
"doctors,",1
"activists,",1
start-up,1
founders,1
challenging,1
feel,3
proud,1
see,2
we’ve,1
accomplished,1
last,1
6-7,1
months.,2
only,7
reason,1
so,3
much,1
courage,1
confidence,1
support,2
you,17
shown,2
❤️!,1
Life’s,1
most,5
important,3
aspect,1
health.,1
Health,1
largely,1
determined,1
by,2
food.,3
food,5
eat,4
packaged,5
if,6
can,6
clean-up,1
"food,",2
directly,1
solve,1
problems,1
lives!,1
Thank,1
love,3
kind,1
messages!,1
Lots,2
"gratitude,",1
Pharmer,4
Do,1
always,3
ingredients,2
product,2
before,2
buy,1
it?,1
today's,1
episode,7
@foodpharmer,1
",",7
who,7
followed,1
his,4
passion,1
truly.,1
He,2
left,1
McKinsey,1
now,1
content,1
creator,1
believes,1
making,1
eye,1
opening,1
videos,4
nation,1
this,18
spoke,1
length,1
about,1
Journey,1
becoming,1
Foodpharmer,1
-Bournvita,1
